Epoch,Step,Precision,Recall,,Precision_AVERAGE,,,Recall_AVERAGE
250,600,0.4625,0.37,,,,,
251,300,0.4947,0.47,,,,,
251,600,0.475,0.38,,,,,
252,300,0.3564,0.36,,,,,
252,600,0.5205,0.38,,,,,
253,300,0.4699,0.39,,,,,
253,600,0.4,0.28,,,,,
254,300,0.5053,0.48,,,,,
254,600,0.493,0.35,,,,,
255,300,0.51,0.51,,,,,
255,600,0.5135,0.38,,,,,
256,300,0.4324,0.32,,,,,
256,600,0.475,0.38,,,,,
257,300,0.4952,0.52,,,,,
257,600,0.4658,0.34,,,,,
258,300,0.5256,0.41,,,,,
258,600,0.5114,0.45,,,,,
259,300,0.5789,0.44,,,,,
259,600,0.5732,0.47,,,,,
260,300,0.4706,0.4,,,,,
260,600,0.413,0.38,,,,,
261,300,0.5181,0.43,,,,,
261,600,0.4176,0.38,,,,,
262,300,0.5125,0.41,,,,,
262,600,0.2364,0.13,,,,,
263,300,0.5441,0.37,,,,,
263,600,0.4535,0.39,,,,,
264,300,0.5,0.43,,,,,
264,600,0.5125,0.41,,,,,
265,300,0.4536,0.44,,,,,
265,600,0.4818,0.53,,,,,
266,300,0.5,0.35,,,,,
266,600,0.4487,0.35,,,,,
267,300,0.506,0.42,,,,,
267,600,0.5,0.49,,,,,
268,300,0.4405,0.37,,,,,
268,600,0.4868,0.37,,,,,
269,300,0.4756,0.39,,,,,
269,600,0.4851,0.49,,,,,
270,300,0.5444,0.49,,,,,
270,600,0.3656,0.34,,,,,
271,300,0.4023,0.35,,,,,
271,600,0.4225,0.3,,,,,
272,300,0.4717,0.5,,,,,
272,600,0.4938,0.4,,,,,
273,300,0.5233,0.45,,,,,
273,600,0.47,0.47,,,,,
274,300,0.4405,0.37,,,,,
274,600,0.5412,0.46,,,,,
275,300,0.4521,0.33,,,,,
275,600,0.5385,0.49,,,,,
276,300,0.4722,0.34,,,,,
276,600,0.4588,0.39,,,,,
277,300,0.4022,0.37,,,,,
277,600,0.4535,0.39,,,,,
278,300,0.5185,0.42,,,,,
278,600,0.4804,0.49,,,,,
279,300,0.5361,0.52,,,,,
279,600,0.4639,0.45,,,,,
280,300,0.4353,0.37,,,,,
280,600,0.4651,0.4,,,,,
281,300,0.5139,0.37,,,,,
281,600,0.4881,0.41,,,,,
282,300,0.4516,0.28,,,,,
282,600,0.5429,0.57,,,,,
283,300,0.4681,0.44,,,,,
283,600,0.44,0.33,,,,,
284,300,0.5652,0.52,,,,,
284,600,0.4177,0.33,,,,,
285,300,0.4884,0.42,,,,,
285,600,0.4474,0.34,,,,,
286,300,0.4902,0.5,,,,,
286,600,0.5161,0.48,,,,,
287,300,0.5068,0.37,,,,,
287,600,0.4588,0.39,,,,,
288,300,0.5444,0.49,,,,,
288,600,0.5395,0.41,,,,,
289,300,0.5224,0.35,,,,,
289,600,0.3956,0.36,,,,,
290,300,0.5309,0.43,,,,,
290,600,0.525,0.42,,,,,
291,300,0.5062,0.41,,,,,
291,600,0.4198,0.34,,,,,
292,300,0.4,0.26,,,,,
292,600,0.5208,0.5,,,,,
293,300,0.4737,0.45,,,,,
293,600,0.4933,0.37,,,,,
294,300,0.4342,0.33,,,,,
294,600,0.4881,0.41,,,,,
295,300,0.3288,0.24,,,,,
295,600,0.5479,0.4,,,,,
296,300,0.6,0.6,,,,,
296,600,0.5694,0.41,,,,,
297,300,0.4667,0.42,,,,,
297,600,0.4198,0.34,,,,,
298,300,0.5281,0.47,,,,,
298,600,0.4583,0.44,,,,,
299,300,0.4574,0.43,,,,,
299,600,0.4824,0.41,,,,,
300,300,0.4154,0.27,,,,,
300,600,0.5172,0.3,,,,,
301,300,0.4167,0.35,,,,,
301,600,0.4023,0.35,,,,,
302,300,0.4949,0.49,,,,,
302,600,0.4889,0.44,,,,,
303,300,0.4639,0.45,,,,,
303,600,0.4605,0.35,,,,,
304,300,0.5109,0.47,,,,,
304,600,0.4474,0.34,,,,,
305,300,0.4756,0.39,,,,,
305,600,0.4304,0.34,,,,,
306,300,0.5275,0.48,,,,,
306,600,0.4227,0.41,,,,,
307,300,0.37,0.37,,,,,
307,600,0.4831,0.43,,,,,
308,300,0.3714,0.26,,,,,
308,600,0.4433,0.43,,,,,
309,300,0.567,0.55,,,,,
309,600,0.4535,0.39,,,,,
310,300,0.4429,0.31,,,,,
310,600,0.5,0.43,,,,,
311,300,0.4947,0.47,,,,,
311,600,0.495,0.5,,,,,
312,300,0.4747,0.47,,,,,
312,600,0.4819,0.4,,,,,
313,300,0.5795,0.51,,,,,
313,600,0.5176,0.44,,,,,
314,300,0.4458,0.37,,,,,
314,600,0.4681,0.44,,,,,
315,300,0.4848,0.48,,,,,
315,600,0.5106,0.48,,,,,
316,300,0.5543,0.51,,,,,
316,600,0.4688,0.3,,,,,
317,300,0.5122,0.42,,,,,
317,600,0.451,0.46,,,,,
318,300,0.5208,0.5,,,,,
318,600,0.5412,0.46,,,,,
319,300,0.4578,0.38,,,,,
319,600,0.4898,0.48,,,,,
320,300,0.4375,0.42,,,,,
320,600,0.5366,0.44,,,,,
321,300,0.5111,0.46,,,,,
321,600,0.4605,0.35,,,,,
322,300,0.5556,0.5,,,,,
322,600,0.4805,0.37,,,,,
323,300,0.5632,0.49,,,,,
323,600,0.5824,0.53,,,,,
324,300,0.5,0.42,,,,,
324,600,0.5132,0.39,,,,,
325,300,0.4301,0.4,,,,,
325,600,0.4211,0.32,,,,,
326,300,0.4545,0.35,,,,,
326,600,0.4375,0.35,,,,,
327,300,0.4128,0.45,,,,,
327,600,0.587,0.54,,,,,
328,300,0.5696,0.45,,,,,
328,600,0.4487,0.35,,,,,
329,300,0.5,0.44,,,,,
329,600,0.5096,0.53,,,,,
330,300,0.5412,0.46,,,,,
330,600,0.5412,0.46,,,,,
331,300,0.4722,0.34,,,,,
331,600,0.4563,0.47,,,,,
332,300,0.4902,0.5,,,,,
332,600,0.4405,0.37,,,,,
333,300,0.4848,0.48,,,,,
333,600,0.5325,0.41,,,,,
334,300,0.5591,0.52,,,,,
334,600,0.4353,0.37,,,,,
335,300,0.5158,0.49,,,,,
335,600,0.58,0.58,,,,,
336,300,0.4634,0.38,,,,,
336,600,0.4299,0.46,,,,,
337,300,0.5422,0.45,,,,,
337,600,0.5,0.48,,,,,
338,300,0.4355,0.27,,,,,
338,600,0.4778,0.43,,,,,
339,300,0.375,0.36,,,,,
339,600,0.5067,0.38,,,,,
340,300,0.5243,0.54,,,,,
340,600,0.4412,0.45,,,,,
341,300,0.4375,0.35,,,,,
341,600,0.45,0.36,,,,,
342,300,0.5128,0.4,,,,,
342,600,0.5,0.41,,,,,
343,300,0.5132,0.39,,,,,
343,600,0.4886,0.43,,,,,
344,300,0.4878,0.4,,,,,
344,600,0.5325,0.41,,,,,
345,300,0.4512,0.37,,,,,
345,600,0.5342,0.39,,,,,
346,300,0.5732,0.47,,,,,
346,600,0.5366,0.44,,,,,
347,300,0.4432,0.39,,,,,
347,600,0.4545,0.5,,,,,
348,300,0.4286,0.42,,,,,
348,600,0.4301,0.4,,,,,
349,300,0.5581,0.48,,,,,
349,600,0.4839,0.45,,,,,
350,300,0.49,0.49,,,,,
350,600,0.4634,0.38,,,,,
351,300,0.5172,0.45,,,,,
351,600,0.4944,0.44,,,,,
352,300,0.4719,0.42,,,,,
352,600,0.4886,0.43,,,,,
353,300,0.3902,0.32,,,,,
353,600,0.5604,0.51,,,,,
354,300,0.4598,0.4,,,,,
354,600,0.4945,0.45,,,,,
355,300,0.4444,0.4,,,,,
355,600,0.4545,0.4,,,,,
356,300,0.4787,0.45,,,,,
356,600,0.4839,0.45,,,,,
357,300,0.4805,0.37,,,,,
357,600,0.4074,0.33,,,,,
358,300,0.4,0.32,,,,,
358,600,0.44,0.44,,,,,
359,300,0.4691,0.38,,,,,
359,600,0.5,0.38,,,,,
360,300,0.5167,0.31,,,,,
360,600,0.443,0.35,,,,,
361,300,0.413,0.38,,,,,
361,600,0.6,0.54,,,,,
362,300,0.5,0.55,,,,,
362,600,0.4079,0.31,,,,,
363,300,0.5385,0.56,,,,,
363,600,0.4886,0.43,,,,,
364,300,0.5,0.56,,,,,
364,600,0.4545,0.4,,,,,
365,300,0.4881,0.41,,,,,
365,600,0.4563,0.47,,,,,
366,300,0.5361,0.52,,,,,
366,600,0.5408,0.53,,,,,
367,300,0.4875,0.39,,,,,
367,600,0.45,0.36,,,,,
368,300,0.3977,0.35,,,,,
368,600,0.5545,0.56,,,,,
369,300,0.52,0.52,,,,,
369,600,0.5949,0.47,,,,,
370,300,0.3939,0.26,,,,,
370,600,0.55,0.44,,,,,
371,300,0.4776,0.32,,,,,
371,600,0.506,0.42,,,,,
372,300,0.4,0.34,,,,,
372,600,0.4938,0.4,,,,,
373,300,0.5321,0.58,,,,,
373,600,0.4839,0.45,,,,,
374,300,0.6173,0.5,,,,,
374,600,0.4524,0.38,,,,,
375,300,0.573,0.51,,,,,
375,600,0.5618,0.5,,,,,
376,300,0.4571,0.48,,,,,
376,600,0.4235,0.36,,,,,
377,300,0.4691,0.38,,,,,
377,600,0.4444,0.44,,,,,
378,300,0.4348,0.4,,,,,
378,600,0.3736,0.34,,,,,
379,300,0.4432,0.39,,,,,
379,600,0.5455,0.42,,,,,
380,300,0.4796,0.47,,,,,
380,600,0.4167,0.35,,,,,
381,300,0.5104,0.49,,,,,
381,600,0.5233,0.45,,,,,
382,300,0.4545,0.4,,,,,
382,600,0.4667,0.42,,,,,
383,300,0.6324,0.43,,,,,
383,600,0.4783,0.44,,,,,
384,300,0.5294,0.36,,,,,
384,600,0.4667,0.35,,,,,
385,300,0.5059,0.43,,,,,
385,600,0.4948,0.48,,,,,
386,300,0.5625,0.54,,,,,
386,600,0.5098,0.52,,,,,
387,300,0.5165,0.47,,,,,
387,600,0.3956,0.36,,,,,
388,300,0.4526,0.43,,,,,
388,600,0.5526,0.42,,,,,
389,300,0.3958,0.38,,,,,
389,600,0.4796,0.47,,,,,
390,300,0.4211,0.32,,,,,
390,600,0.5055,0.46,,,,,
391,300,0.4421,0.42,,,,,
391,600,0.5506,0.49,,,,,
392,300,0.4565,0.42,,,,,
392,600,0.5054,0.47,,,,,
393,300,0.4651,0.4,,,,,
393,600,0.54,0.54,,,,,
394,300,0.5393,0.48,,,,,
394,600,0.4625,0.37,,,,,
395,300,0.5222,0.47,,,,,
395,600,0.4697,0.31,,,,,
396,300,0.4742,0.46,,,,,
396,600,0.5224,0.35,,,,,
397,300,0.4368,0.38,,,,,
397,600,0.4792,0.46,,,,,
398,300,0.5,0.41,,,,,
398,600,0.51,0.51,,,,,
399,300,0.5119,0.43,,,,,
399,600,0.4286,0.39,,,,,
400,300,0.5949,0.47,,,,,
400,600,0.5149,0.52,,,,,
401,300,0.5625,0.45,,,,,
401,600,0.5392,0.55,,,,,
402,300,0.4646,0.46,,,,,
402,600,0.4048,0.34,,,,,
403,300,0.48,0.48,,,,,
403,600,0.4103,0.32,,,,,
404,300,0.5641,0.44,,,,,
404,600,0.4848,0.48,,,,,
405,300,0.4,0.32,,,,,
405,600,0.5616,0.41,,,,,
406,300,0.4324,0.32,,,,,
406,600,0.4505,0.41,,,,,
