Epoch,Step,Precision,Recall,,Precision_AVERAGE,,,Recall_AVERAGE
117,300,0.742857149,0.779999971,,,,,
117,600,0.770114957,0.670000017,,,,,
118,300,0.722772303,0.730000019,,,,,
118,600,0.762376226,0.769999981,,,,,
119,300,0.548076905,0.569999993,,,,,
119,600,0.736842118,0.560000002,,,,,
120,300,0.728971941,0.779999971,,,,,
120,600,0.776470597,0.660000026,,,,,
121,300,0.706896566,0.819999993,,,,,
121,600,0.658823514,0.560000002,,,,,
122,300,0.689999998,0.689999998,,,,,
122,600,0.63636362,0.419999987,,,,,
123,300,0.730000019,0.730000019,,,,,
123,600,0.75757575,0.75,,,,,
124,300,0.588888873,0.529999971,,,,,
124,600,0.802083331,0.769999981,,,,,
125,300,0.722222207,0.779999971,,,,,
125,600,0.627906968,0.810000002,,,,,
126,300,0.793103441,0.689999998,,,,,
126,600,0.670454519,0.589999974,,,,,
127,300,0.763440831,0.709999979,,,,,
127,600,0.732758625,0.850000024,,,,,
128,300,0.696078423,0.709999979,,,,,
128,600,0.651376143,0.709999979,,,,,
129,300,0.710526327,0.810000002,,,,,
129,600,0.787234055,0.74000001,,,,,
130,300,0.621052612,0.589999974,,,,,
130,600,0.586956534,0.540000021,,,,,
131,300,0.627906991,0.540000021,,,,,
131,600,0.658823514,0.560000002,,,,,
132,300,0.790476166,0.829999983,,,,,
132,600,0.775510179,0.75999999,,,,,
133,300,0.64044944,0.569999993,,,,,
133,600,0.556603748,0.589999974,,,,,
134,300,0.648936187,0.610000014,,,,,
134,600,0.702702668,0.519999981,,,,,
135,300,0.718181822,0.790000021,,,,,
135,600,0.67326734,0.680000007,,,,,
136,300,0.669811299,0.709999979,,,,,
136,600,0.5,0.5,,,,,
137,300,0.732758625,0.850000024,,,,,
137,600,0.658536577,0.810000002,,,,,
138,300,0.669565215,0.769999981,,,,,
138,600,0.601941734,0.620000005,,,,,
139,300,0.695121949,0.569999993,,,,,
139,600,0.584269651,0.519999981,,,,,
140,300,0.447368414,0.340000004,,,,,
140,600,0.640000011,0.479999989,,,,,
141,300,0.69662923,0.620000005,,,,,
141,600,0.717647056,0.610000014,,,,,
142,300,0.691489338,0.649999976,,,,,
142,600,0.700854685,0.819999993,,,,,
143,300,0.71844659,0.74000001,,,,,
143,600,0.603960416,0.610000014,,,,,
144,300,0.707317059,0.579999983,,,,,
144,600,0.716814164,0.810000002,,,,,
145,300,0.576470583,0.49000001,,,,,
145,600,0.649999976,0.649999976,,,,,
146,300,0.688073411,0.75,,,,,
146,600,0.666666648,0.699999988,,,,,
147,300,0.774509794,0.790000021,,,,,
147,600,0.75675675,0.560000002,,,,,
148,300,0.779220769,0.600000024,,,,,
148,600,0.74747475,0.74000001,,,,,
149,300,0.645161311,0.600000024,,,,,
149,600,0.663043482,0.610000014,,,,,
150,300,0.684782591,0.629999995,,,,,
150,600,0.686046517,0.589999974,,,,,
151,300,0.522727267,0.460000008,,,,,
151,600,0.660377346,0.699999988,,,,,
152,300,0.623655891,0.579999983,,,,,
152,600,0.654867268,0.74000001,,,,,
153,300,0.761363659,0.670000017,,,,,
153,600,0.739583328,0.709999979,,,,,
154,300,0.701149438,0.610000014,,,,,
154,600,0.611650498,0.629999995,,,,,
155,300,0.69662923,0.620000005,,,,,
155,600,0.75949368,0.600000024,,,,,
156,300,0.622641533,0.660000026,,,,,
156,600,0.755555533,0.680000007,,,,,
157,300,0.499999982,0.409999996,,,,,
157,600,0.692307712,0.629999995,,,,,
158,300,0.689320387,0.709999979,,,,,
158,600,0.675925917,0.730000019,,,,,
159,300,0.722772303,0.730000019,,,,,
159,600,0.666666667,0.600000024,,,,,
160,300,0.670329667,0.610000014,,,,,
160,600,0.673076936,0.699999988,,,,,
161,300,0.612403107,0.790000021,,,,,
161,600,0.61864408,0.730000019,,,,,
162,300,0.630630612,0.699999988,,,,,
162,600,0.61224491,0.600000024,,,,,
163,300,0.721649495,0.699999988,,,,,
163,600,0.534246585,0.389999986,,,,,
164,300,0.648936187,0.610000014,,,,,
164,600,0.703296713,0.639999986,,,,,
165,300,0.639639646,0.709999979,,,,,
165,600,0.673913036,0.620000005,,,,,
166,300,0.733333333,0.660000026,,,,,
166,600,0.581818188,0.639999986,,,,,
167,300,0.652173927,0.75,,,,,
167,600,0.685714305,0.720000029,,,,,
168,300,0.651685385,0.579999983,,,,,
168,600,0.663157898,0.629999995,,,,,
169,300,0.84285712,0.589999974,,,,,
169,600,0.722222215,0.649999976,,,,,
170,300,0.616161625,0.610000014,,,,,
170,600,0.639175244,0.620000005,,,,,
171,300,0.737500011,0.589999974,,,,,
171,600,0.695652191,0.639999986,,,,,
172,300,0.628205115,0.49000001,,,,,
172,600,0.636363646,0.699999988,,,,,
173,300,0.645161311,0.600000024,,,,,
173,600,0.74000001,0.74000001,,,,,
174,300,0.683673473,0.670000017,,,,,
174,600,0.638297899,0.600000024,,,,,
175,300,0.698795175,0.579999983,,,,,
175,600,0.788235292,0.670000017,,,,,
176,300,0.721649495,0.699999988,,,,,
176,600,0.650602402,0.540000021,,,,,
177,300,0.707070688,0.699999988,,,,,
177,600,0.669565215,0.769999981,,,,,
178,300,0.585858563,0.579999983,,,,,
178,600,0.700000013,0.629999995,,,,,
179,300,0.669811299,0.709999979,,,,,
179,600,0.71249998,0.569999993,,,,,
